Id,AccountStatus__c,BarrDirectAppUser__c,BillToReference__c,BillingCity,BillingCountry,BillingCountryCode,BillingGeocodeAccuracy,BillingLatitude,BillingLongitude,BillingPostalCode,BillingSameAsShipping__c,BillingState,BillingStateCode,BillingStreet,ClosedDate__c,ClosedReason__c,CreditStatus__c,CustomerShopNumber__c,CustomerTier__c,DeliveryPointCriteriaMet__c,Depot__c,Email__c,ExternalDBID__c,FieldSalesRegion__c,FieldSalesTerritory__c,FixedDeliveryInstructions__c,FormalCreditCheckAgreed__c,Frequency__c,InvoiceType__c,LastOrderDate__c,MinOrderQuantity__c,Name,PORequired__c,ParentId,Phone,PreferredCallTimeTelesales__c,PreferredVisitTime__c,PreviousAccount__c,PricedUnpricedInvoice__c,PrimaryCallDay__c,PrimaryDeliveryDay__c,PrimaryGridNumber__c,PrimaryPaymentMethod__c,PrimaryStartDate__c,RecordTypeId,SeasonalAccount__c,SeasonalEndDate__c,SeasonalStartDate__c,SecondaryCallDay__c,SecondaryDeliveryDay__c,SecondaryGridNumber__c,SecondaryStartDate__c,SeparateLoad__c,ShippingCity,ShippingCountry,ShippingCountryCode,ShippingGeocodeAccuracy,ShippingLatitude,ShippingLongitude,ShippingPostalCode,ShippingState,ShippingStateCode,ShippingStreet,StoreName__c,SupplierRef__c,Symbol__c,Type,aforza__Active__c,aforza__Credit_Amount__c,aforza__Credit_Length__c,aforza__Default_Price_Book__c,aforza__Last_Visit__c,aforza__Operating_Hours__c,aforza__Primary_Contact__c,Parent.Name,PreviousAccount__r.Name,aforza__Default_Price_Book__r.Name,aforza__Operating_Hours__r.Name,aforza__Primary_Contact__r.Name,RecordType.$$DeveloperName$NamespacePrefix$SobjectType
0012z00000BytMLAAZ,Traders,No,,,,,,,,,false,,,,,,,,,,M,,,,,,,F,,,10,BURROWS NEWSAGENTS,false,0012z00000ByXZ6AAN,,,,,,1,3,3M108MO1,Credit,2022-10-28,0128d000001HhauAAC,false,,,,,,,false,CREWE,,,,53.097903,-2.434739,CW1 2AQ,,,106 EARLE STREET,BURROWS NEWSAGENTS,,,,,1000,,01s2z000001T4AJAA0,,,,MOSTON CREDIT CUSTOMERS,,CENTRAL GROUP,,,Outlet;aforza;Account
0012z00000BytMMAAZ,Traders,No,,,,,,,,,false,,,,,,,,,,M,,,,,,,F,,,10,COOPER LANE FISH/CHIPS,false,0012z00000ByXZ6AAN,,,,,,5,2,2M207FR2,Credit,2022-10-17,0128d000001HhauAAC,false,,,,,,,false,WEST YORKSHIRE,,,,53.766975,-1.808145,BD6 3PB,,,103 COOPER LANE,COOPER LANE FISH/CHIPS,,,,,1000,,01s2z000001T4AJAA0,,,,MOSTON CREDIT CUSTOMERS,,CENTRAL GROUP,,,Outlet;aforza;Account
0012z00000BytMNAAZ,Traders,No,,,,,,,,,false,,,,,,,,,,M,,,,,,,F,,,10,GO LOCAL ROMFORD,false,0012z00000ByXZ6AAN,,,,,,2,4,4M206TU2,Credit,2022-10-21,0128d000001HhauAAC,false,,,,,,,false,LIVERPOOL,,,,53.448728,-2.714916,WA9 1QE,,,137 ROMFORD STREET,GO LOCAL ROMFORD,,,,,1000,,01s2z000001T4AJAA0,,,,MOSTON CREDIT CUSTOMERS,,CENTRAL GROUP,,,Outlet;aforza;Account
0012z00000BytMOAAZ,Traders,No,,,,,,,,,false,,,,,,,,,,M,,,,,,,F,,,10,J B HALAL SUPERSTORE,false,0012z00000ByXZ6AAN,,,,,,2,4,4M201TU2,Credit,2022-10-25,0128d000001HhauAAC,false,,,,,,,false,LIVERPOOL,,,,53.396434,-2.932058,L15 0EF,,,95 LAWRENCE ROAD,J B HALAL SUPERSTORE,,,,,1000,,01s2z000001T4AJAA0,,,,MOSTON CREDIT CUSTOMERS,,CENTRAL GROUP,,,Outlet;aforza;Account
0012z00000BytMPAAZ,Traders,No,,,,,,,,,false,,,,,,,,,,M,,,,,,,F,,,10,ONE STOP,false,0012z00000ByXZ6AAN,,,,,,1,3,3M202MO2,Credit,2022-10-25,0128d000001HhauAAC,false,,,,,,,false,PRESTON,,,,53.901517,-2.77416,PR3 1EA,,,34 - 37 HIGH STREET,ONE STOP,,,,,400,,01s2z000001T4AJAA0,,,,MOSTON CREDIT CUSTOMERS,,CENTRAL GROUP,,,Outlet;aforza;Account
0012z00000BytMQAAZ,Traders,No,,,,,,,,,false,,,,,,,,,,B,,,,,,,F,,,10,BUDGET BOOZE,false,0012z00000ByXZ6AAN,,,,,,4,1,1B002TH2,Credit,2022-10-24,0128d000001HhauAAC,false,,,,,,,false,BEBINGTON,,,,53.363533,-2.999159,CH62 1DG,,,11 NEW CHESTER ROAD,BUDGET BOOZE,,,,,1000,,01s2z000001T4AJAA0,,,,MOSTON CREDIT CUSTOMERS,,CENTRAL GROUP,,,Outlet;aforza;Account
0012z00000BytMRAAZ,Traders,No,,,,,,,,,false,,,,,,,,,,M,,,,,,,F,,,10,FISSONS STORES,false,0012z00000ByXZ6AAN,,,,,,5,2,2M105FR1,Credit,2022-10-20,0128d000001HhauAAC,false,,,,,,,false,LEEDS,,,,53.744553,-1.550377,LS10 4LA,,,24-26 SISSONS AVENUE,FISSONS STORES,,,,,1000,,01s2z000001T4AJAA0,,,,MOSTON CREDIT CUSTOMERS,,CENTRAL GROUP,,,Outlet;aforza;Account
0012z00000BytMSAAZ,Traders,No,,,,,,,,,false,,,,,,,,,,M,,,,,,,F,,,10,ASGHAR & SONS SUPERMARKET LTD,false,0012z00000ByXZ6AAN,,,,,,1,3,3M204MO2,Credit,2022-10-28,0128d000001HhauAAC,false,,,,,,,false,BLACKBURN,,,,53.75538,-2.476174,BB1 6DG,,,UNIT 7 WHALLEY RANGE BUSINESS PARK,ASGHAR & SONS SUPERMARKET LTD,,,,,2000,,01s2z000001T4AJAA0,,,,MOSTON CREDIT CUSTOMERS,,CENTRAL GROUP,,,Outlet;aforza;Account
0012z00000BytMTAAZ,Traders,No,,,,,,,,,false,,,,,,,,,,M,,,,,,,F,,,10,BASILDON GREEN CONVENIENCE STORE,false,0012z00000ByXZ6AAN,,,,,,5,2,2M206FR2,Credit,2022-10-24,0128d000001HhauAAC,false,,,,,,,false,SHIPLEY,,,,53.842924,-1.772418,BD17 5QP,,,38-42 CLIFFE LANE WEST,BASILDON GREEN CONVENIENCE STORE,,,,,1000,,01s2z000001T4AJAA0,,,,MOSTON CREDIT CUSTOMERS,,CENTRAL GROUP,,,Outlet;aforza;Account
0012z00000BytMUAAZ,Traders,No,,,,,,,,,false,,,,,,,,,,M,,,,,,,F,,,10,M&S CONVENIENCE SHOP LTD,false,0012z00000ByXZ6AAN,,,,,,4,1,1M206TH2,Credit,2022-10-21,0128d000001HhauAAC,false,,,,,,,false,SHEFFIELD,,,,53.345348,-1.386354,S12 4HE,,,41 - 43 SPAR VIEW ROAD HACKENTHORPE,M&S CONVENIENCE SHOP LTD,,,,,1000,,01s2z000001T4AJAA0,,,,MOSTON CREDIT CUSTOMERS,,CENTRAL GROUP,,,Outlet;aforza;Account
