Id,aforza__Assortment__c,Name,aforza__Product__c,aforza__Assortment__r.Name,aforza__Product__r.StockKeepingUnit
a082z000000CPZ9AAO,a092z000000FNMPAA4,APR-00000035,,All Products,
a082z000000CdhbAAC,a092z000000FNMPAA4,APR-00000048,,All Products,
a082z000000qc4XAAQ,a092z000000GYWyAAO,APR-00001108,01t2z00000231DGAAY,Gold Stores,
a082z000000oysUAAQ,a092z000000FNMPAA4,APR-00000050,01t2z000001oCsRAAU,All Products,
a082z000000p8PuAAI,a092z000000FXhXAAW,APR-00000265,01t2z000001oCrOAAU,All England products,
a082z000000p8PvAAI,a092z000000FXhXAAW,APR-00000266,01t2z000001oCrPAAU,All England products,
a082z000000p8PwAAI,a092z000000FXhXAAW,APR-00000267,01t2z000001oCrQAAU,All England products,
a082z000000p8PxAAI,a092z000000FXhXAAW,APR-00000268,01t2z000001oCrRAAU,All England products,
a082z000000p8PyAAI,a092z000000FXhXAAW,APR-00000269,01t2z000001oCrSAAU,All England products,
a082z000000p8PzAAI,a092z000000FXhXAAW,APR-00000270,01t2z000001oCrTAAU,All England products,
a082z000000p8Q0AAI,a092z000000FXhXAAW,APR-00000271,01t2z000001oCrUAAU,All England products,
a082z000000p8Q1AAI,a092z000000FXhXAAW,APR-00000272,01t2z000001oCrVAAU,All England products,
a082z000000p8Q2AAI,a092z000000FXhXAAW,APR-00000273,01t2z000001oCrWAAU,All England products,
a082z000000p8Q3AAI,a092z000000FXhXAAW,APR-00000274,01t2z000001oCrXAAU,All England products,
a082z000000p8Q4AAI,a092z000000FXhXAAW,APR-00000275,01t2z000001oCrYAAU,All England products,
a082z000000p8Q5AAI,a092z000000FXhXAAW,APR-00000276,01t2z000001oCrZAAU,All England products,
a082z000000p8Q6AAI,a092z000000FXhXAAW,APR-00000277,01t2z000001oCraAAE,All England products,
a082z000000p8Q7AAI,a092z000000FXhXAAW,APR-00000278,01t2z000001oCrbAAE,All England products,
a082z000000p8Q8AAI,a092z000000FXhXAAW,APR-00000279,01t2z000001oCrcAAE,All England products,3914123
a082z000000p8Q9AAI,a092z000000FXhXAAW,APR-00000280,01t2z000001oCrdAAE,All England products,
a082z000000p8QAAAY,a092z000000FXhXAAW,APR-00000281,01t2z000001oCreAAE,All England products,
a082z000000p8QBAAY,a092z000000FXhXAAW,APR-00000282,01t2z000001oCrfAAE,All England products,
a082z000000p8QCAAY,a092z000000FXhXAAW,APR-00000283,01t2z000001oCrgAAE,All England products,
a082z000000p8QDAAY,a092z000000FXhXAAW,APR-00000284,01t2z000001oCrhAAE,All England products,
a082z000000p8QEAAY,a092z000000FXhXAAW,APR-00000285,01t2z000001oCriAAE,All England products,
a082z000000p8QFAAY,a092z000000FXhXAAW,APR-00000286,01t2z000001oCrjAAE,All England products,4010142
a082z000000p8QHAAY,a092z000000FXhXAAW,APR-00000288,01t2z000001oCrmAAE,All England products,
a082z000000p8QIAAY,a092z000000FXhXAAW,APR-00000289,01t2z000001oCrnAAE,All England products,
a082z000000p8QJAAY,a092z000000FXhXAAW,APR-00000290,01t2z000001oCroAAE,All England products,
a082z000000p8QKAAY,a092z000000FXhXAAW,APR-00000291,01t2z000001oCrpAAE,All England products,
a082z000000p8QLAAY,a092z000000FXhXAAW,APR-00000292,01t2z000001oCrqAAE,All England products,
a082z000000p8QMAAY,a092z000000FXhXAAW,APR-00000293,01t2z000001oCrrAAE,All England products,
a082z000000p8QNAAY,a092z000000FXhXAAW,APR-00000294,01t2z000001oCrsAAE,All England products,
a082z000000p8QOAAY,a092z000000FXhXAAW,APR-00000295,01t2z000001oCrtAAE,All England products,
a082z000000p8QPAAY,a092z000000FXhXAAW,APR-00000296,01t2z000001oCruAAE,All England products,
a082z000000p8QQAAY,a092z000000FXhXAAW,APR-00000297,01t2z000001oCrvAAE,All England products,
a082z000000p8QRAAY,a092z000000FXhXAAW,APR-00000298,01t2z000001oCrwAAE,All England products,
a082z000000p8QSAAY,a092z000000FXhXAAW,APR-00000299,01t2z000001oCrxAAE,All England products,
a082z000000p8QTAAY,a092z000000FXhXAAW,APR-00000300,01t2z000001oCryAAE,All England products,
a082z000000p8QUAAY,a092z000000FXhXAAW,APR-00000301,01t2z000001oCrzAAE,All England products,
a082z000000p8QVAAY,a092z000000FXhXAAW,APR-00000302,01t2z000001oCs0AAE,All England products,
a082z000000p8QWAAY,a092z000000FXhXAAW,APR-00000303,01t2z000001oCs1AAE,All England products,
a082z000000p8QXAAY,a092z000000FXhXAAW,APR-00000304,01t2z000001oCs2AAE,All England products,
