Id,Name,aforza__Account__c,aforza__Attribute__c,aforza__Product__c,aforza__Value__c,aforza__Account__r.Name,aforza__Attribute__r.aforza__Code__c,aforza__Product__r.StockKeepingUnit
a0A2z000000BOH4EAO,AAS-00001456,0012z00000CGK2MAAX,a0C2z000000BYOTEA4,,,AK SUPERSTORE NW LTD,TS-0002,
a0A2z000000BQyQEAW,AAS-00001460,,a0C2z000000B58fEAC,,,,New DP,
a0A2z000000BOGzEAO,AAS-00001455,0012z00000BytM0AAJ,a0C2z000000BYOTEA4,,,AK SUPERSTORE,TS-0002,
a0A2z000000AhN5EAK,AAS-00000254,,a0C2z000000B59YEAS,,200,,AA-0011,
a0A2z000000AhNFEA0,AAS-00000256,,a0C2z000000B59xEAC,,,,JK_02,
a0A2z000000AhMgEAK,AAS-00000249,,a0C2z000000B59sEAC,,,,M-01,
a0A2z000000AhO8EAK,AAS-00000264,,a0C2z000000B59OEAS,,England,,AA-0010,
a0A2z000000AhNKEA0,AAS-00000257,,a0C2z000000B59dEAC,,,,AA-0014,
a0A2z000000AhNAEA0,AAS-00000255,,a0C2z000000B59iEAC,,,,AA-0015,
a0A2z000000B0fsEAC,AAS-00000893,0012z00000CGJwvAAH,a0C2z000000B59OEAS,,England,DONS NEWS & WINE,AA-0010,
a0A2z000000B0ftEAC,AAS-00000894,0012z00000CGJwwAAH,a0C2z000000B59OEAS,,England,MIN'KEL (M & K FOODMARKET),AA-0010,
a0A2z000000B0fuEAC,AAS-00000895,0012z00000CGJwxAAH,a0C2z000000B59OEAS,,England,NAMIT CASH STORE,AA-0010,
a0A2z000000B0fvEAC,AAS-00000896,0012z00000CGJwyAAH,a0C2z000000B59OEAS,,England,ALL IN ONE,AA-0010,
a0A2z000000B0fwEAC,AAS-00000897,0012z00000CGJzbAAH,a0C2z000000B59OEAS,,England,PAPAS KEBAB HOUSE & LATE SHOP,AA-0010,
a0A2z000000B0fyEAC,AAS-00000899,0012z00000CGJzdAAH,a0C2z000000B59OEAS,,England,OMAR FOOD STORES,AA-0010,
a0A2z000000B0fzEAC,AAS-00000900,0012z00000CGJzeAAH,a0C2z000000B59OEAS,,England,VARIETY EXPRESS FOOD STORE,AA-0010,
a0A2z000000B0g0EAC,AAS-00000901,0012z00000CGJzfAAH,a0C2z000000B59OEAS,,England,THE OFF LICENCE,AA-0010,
a0A2z000000B0g1EAC,AAS-00000902,0012z00000CGJzgAAH,a0C2z000000B59OEAS,,England,TURFHILL OFF LICENCE,AA-0010,
a0A2z000000B0g2EAC,AAS-00000903,0012z00000CGJzhAAH,a0C2z000000B59OEAS,,England,BOBS SHOP,AA-0010,
a0A2z000000B0g3EAC,AAS-00000904,0012z00000CGJziAAH,a0C2z000000B59OEAS,,England,SAHARA DESERT LTD,AA-0010,
a0A2z000000B0g4EAC,AAS-00000905,0012z00000CGJzjAAH,a0C2z000000B59OEAS,,England,HUSSAIN BROTHERS,AA-0010,
a0A2z000000B0g5EAC,AAS-00000906,0012z00000CGJzkAAH,a0C2z000000B59OEAS,,England,P & J EMMOTT,AA-0010,
a0A2z000000B0g6EAC,AAS-00000907,0012z00000CGJzlAAH,a0C2z000000B59OEAS,,England,TOPSHOP (MR AHMED),AA-0010,
a0A2z000000B0g7EAC,AAS-00000908,0012z00000CGJzmAAH,a0C2z000000B59OEAS,,England,MADINA HALAL MEAT STORE,AA-0010,
a0A2z000000B0g8EAC,AAS-00000909,0012z00000CGJznAAH,a0C2z000000B59OEAS,,England,ARIF STORES,AA-0010,
a0A2z000000B0g9EAC,AAS-00000910,0012z00000CGJzoAAH,a0C2z000000B59OEAS,,England,SCHOOL ST MINI MARKET LTD,AA-0010,
a0A2z000000B0gAEAS,AAS-00000911,0012z00000CGJzpAAH,a0C2z000000B59OEAS,,England,SCOONA WINES,AA-0010,
a0A2z000000B0gBEAS,AAS-00000912,0012z00000CGJzqAAH,a0C2z000000B59OEAS,,England,BUY THE WAY,AA-0010,
a0A2z000000B0gCEAS,AAS-00000913,0012z00000CGJzrAAH,a0C2z000000B59OEAS,,England,GULF GARAGE PREMIER,AA-0010,
a0A2z000000B0gEEAS,AAS-00000915,0012z00000CGJztAAH,a0C2z000000B59OEAS,,England,THE TARTAN CAFE,AA-0010,
a0A2z000000B0gFEAS,AAS-00000916,0012z00000CGJzvAAH,a0C2z000000B59OEAS,,England,WATERLOO ROAD NEWS,AA-0010,
a0A2z000000B0gGEAS,AAS-00000917,0012z00000CGJzyAAH,a0C2z000000B59OEAS,,England,THE PAPER SHOP,AA-0010,
a0A2z000000B0gHEAS,AAS-00000918,0012z00000CGJzzAAH,a0C2z000000B59OEAS,,England,CROWN CONVENIENCE NEWS,AA-0010,
a0A2z000000B0gIEAS,AAS-00000919,0012z00000CGK00AAH,a0C2z000000B59OEAS,,England,EURO NEWS,AA-0010,
a0A2z000000B0gJEAS,AAS-00000920,0012z00000CGK01AAH,a0C2z000000B59OEAS,,England,GANESH NEWS,AA-0010,
a0A2z000000B0gKEAS,AAS-00000921,0012z00000CGK02AAH,a0C2z000000B59OEAS,,England,KASHMIR WATAN  FOODSTORE LTD,AA-0010,
a0A2z000000B0gLEAS,AAS-00000922,0012z00000CGK03AAH,a0C2z000000B59OEAS,,England,BOTTLE & BASKET OFF LICENCE,AA-0010,
a0A2z000000B0gMEAS,AAS-00000923,0012z00000CGK04AAH,a0C2z000000B59OEAS,,England,EXPRESS CHECKOUT,AA-0010,
a0A2z000000B0gNEAS,AAS-00000924,0012z00000CGK05AAH,a0C2z000000B59OEAS,,England,HUSSAINS SPICE & FOOD CENTRE,AA-0010,
a0A2z000000B0gOEAS,AAS-00000925,0012z00000CGK06AAH,a0C2z000000B59OEAS,,England,MOOR NOOK CONVENIENCE STORE,AA-0010,
a0A2z000000B0gPEAS,AAS-00000926,0012z00000CGK07AAH,a0C2z000000B59OEAS,,England,ADAM & SON,AA-0010,
a0A2z000000B0gQEAS,AAS-00000927,0012z00000CGK08AAH,a0C2z000000B59OEAS,,England,SPAR,AA-0010,
a0A2z000000B0gREAS,AAS-00000928,0012z00000CGK09AAH,a0C2z000000B59OEAS,,England,HARWOOD STORES,AA-0010,
a0A2z000000B0gSEAS,AAS-00000929,0012z00000CGK0AAAX,a0C2z000000B59OEAS,,England,ADAM NEWS,AA-0010,
a0A2z000000B0gTEAS,AAS-00000930,0012z00000CGK0BAAX,a0C2z000000B59OEAS,,England,BONDS OF LONGRIDGE,AA-0010,
a0A2z000000B0gUEAS,AAS-00000931,0012z00000CGK0CAAX,a0C2z000000B59OEAS,,England,PREMIER,AA-0010,
a0A2z000000B0gVEAS,AAS-00000932,0012z00000CGK0DAAX,a0C2z000000B59OEAS,,England,MEGA CUTS LTD,AA-0010,
a0A2z000000B0gWEAS,AAS-00000933,0012z00000CGK0EAAX,a0C2z000000B59OEAS,,England,AL SALAM FOOD STORE,AA-0010,
a0A2z000000B0gXEAS,AAS-00000934,0012z00000CGK0FAAX,a0C2z000000B59OEAS,,England,VAUGHANS OF WHITTINGHAM,AA-0010,
a0A2z000000B0gYEAS,AAS-00000935,0012z00000CGK0GAAX,a0C2z000000B59OEAS,,England,ALI OMAR STOP-SHOP LTD,AA-0010,
a0A2z000000B0gZEAS,AAS-00000936,0012z00000CGK0HAAX,a0C2z000000B59OEAS,,England,PHILS GENERAL STORE,AA-0010,
a0A2z000000B0gaEAC,AAS-00000937,0012z00000CGK0IAAX,a0C2z000000B59OEAS,,England,MOOR PARK NEWSAGENTS,AA-0010,
a0A2z000000B0gbEAC,AAS-00000938,0012z00000CGK0kAAH,a0C2z000000B59OEAS,,England,HOUGHTONS FILLING STATION,AA-0010,
