Id,aforza__Active__c,aforza__Attribute_Category__c,Name,aforza__Code__c,aforza__Description__c,aforza__Sequence__c,aforza__Type__c,aforza__Values__c,aforza__Attribute_Category__r.aforza__Code__c
a0C2z000000BYOTEA4,true,a0B2z000001MwPWEA0,Training Session,TS-0002,,,Toggle,,AC-0013
a0C2z000000BZ2MEAW,true,a0B2z000001NB07EAG,key account,PS-004,Used to identify the key account on the DPs. Created by Phil 24/10/2022.,,Detail,,PS-003
a0C2z000000B4fFEAS,true,a0B2z000001Mw15EAC,New DP,3453,,,Toggle,,erwer
a0C2z000000B59iEAC,true,a0B2z000001MwPREA0,Fanta,AA-0015,Competitor brand.,2,Toggle,,AC-0012
a0C2z000000B59JEAS,true,a0B2z000001MwP7EAK,IanW Test,AC - IW001,,1,Toggle,,AC-0010
a0C2z000000B58fEAC,true,a0B2z000001Mw15EAC,New DP,New DP,,1,Toggle,,erwer
a0C2z000000B59OEAS,true,a0B2z000001MwP7EAK,Country,AA-0010,This attribute will be used to identify the customer country.,2,Choice,"Scotland,England",AC-0010
a0C2z000000B59sEAC,true,a0B2z000001MwPREA0,Red Bull,M-01,Competitor Brand,3,Toggle,,AC-0012
a0C2z000000B59xEAC,true,a0B2z000001MwPREA0,Rockstar,JK_02,Competitor Brand,7,Toggle,,AC-0012
a0C2z000000B59nEAC,true,a0B2z000001MwPREA0,Dr Pepper,AC - IW002,Competitor brand,4,Toggle,,AC-0012
a0C2z000000B5AnEAK,true,a0B2z000001MwPREA0,Relentless,AA-0016,Competitor brand.,1,Toggle,,AC-0012
a0C2z000000B59YEAS,true,a0B2z000001MwP7EAK,School Proximity (m),AA-0011,Attributes to classigy customers by school proximity.,3,Choice,"100,200,300,400,500,Above 500",AC-0010
a0C2z000000B59dEAC,true,a0B2z000001MwPREA0,Monster,AA-0014,Competitor brand.,1,Toggle,,AC-0012
a0C2z000000B5QpEAK,true,a0B2z000001MwP7EAK,Region,AA-0018,Attribute to identify the account region.,4,Choice,"South,South West,South East,North,North West,North East",AC-0010
a0C2z000000B9sYEAS,true,a0B2z000001MzWJEA0,500ML IRN-BRU £1,3210137,,,Toggle,,NonStockis
a0C2z000000B9sdEAC,true,a0B2z000001MzWJEA0,500ML R/CON MANGO £1,3914123,,,Toggle,,NonStockis
a0C2z000000B9siEAC,true,a0B2z000001MzWOEA0,Phils - assortment attribute,PS-003,,,Choice,"all products,own assortment",PS-002
a0C2z000000B9snEAC,true,a0B2z000001MzWJEA0,500ML R/CON SPG ORNGE MANGO £1,3437110,,,Toggle,,NonStockis
a0C2z000000BARMEA4,true,a0B2z000001MzWJEA0,Test Deposit Product (Eddy),3914124,,,Toggle,,NonStockis
a0C2z000000BARHEA4,false,a0B2z000001MzWJEA0,1L IRN-BRU,4010142,,,Toggle,,NonStockis
a0C2z000000BCOeEAO,true,a0B2z000001N1D8EAK,Symbols,AC0021,Symbols groups for store focus etc,11,Choice,"BEST-ONE,COSTCUTTER,DAY-TODAY,KEYSTORE,LIFESTYLE EXPRESS,LONDIS,McCOLLS,NISA,PREMIER,SAVEWELL,SPAR,USAVE",AC0021
a0C2z000000BCOZEA4,true,a0B2z000001N1D3EAK,Store Priority,AC0020,Store measures re promo focus etc,10,Choice,"Platinum, Gold,Silver,Bronze",AC0020
a0C2z000000BCuOEAW,true,a0B2z000001MwPWEA0,Direct Debit,TS-0001,Attribute to identify if customer is using direct debit as primary payment method.,4,Toggle,,AC-0013
